eph_aglome,RADIO,PERSONAS,decil_NSE
CABA,020010101,336,2
CABA,020010201,478,1
CABA,020010202,401,1
CABA,020010203,337,1
CABA,020010204,602,1
CABA,020010205,307,1
CABA,020010206,732,1
CABA,020010207,438,1
CABA,020010208,486,1
CABA,020010209,511,1
CABA,020010210,327,1
CABA,020010211,611,1
CABA,020010212,1225,1
CABA,020010213,476,1
CABA,020010214,688,1
CABA,020010215,757,1
CABA,020010216,1128,1
CABA,020010217,712,1
CABA,020010218,480,1
CABA,020010219,547,1
CABA,020010301,594,1
CABA,020010302,564,1
CABA,020010303,659,1
CABA,020010304,428,1
CABA,020010305,1283,1
CABA,020010306,1027,1
CABA,020010307,403,1
CABA,020010308,797,1
CABA,020010309,1092,1
CABA,020010310,745,1
CABA,020010311,745,1
CABA,020010312,561,1
CABA,020010313,381,1
CABA,020010314,471,1
CABA,020010315,843,1
CABA,020010316,726,1
CABA,020010317,571,1
CABA,020010318,783,1
CABA,020010319,1017,1
CABA,020010320,397,1
CABA,020010321,300,1
CABA,020010322,670,1
CABA,020010323,837,1
CABA,020010401,1472,6
CABA,020010402,1299,9
CABA,020010403,1189,8
CABA,020010404,1545,10
CABA,020010405,1069,9
CABA,020010406,1271,9
CABA,020010407,1393,8
CABA,020010408,1128,6
CABA,020010501,631,10
CABA,020010502,533,10
CABA,020010503,928,10
CABA,020010504,1200,8
CABA,020010505,637,9
CABA,020010506,888,9
CABA,020010507,597,9
CABA,020010601,948,10
CABA,020010602,641,10
CABA,020010603,1160,10
CABA,020010604,789,10
CABA,020010605,332,10
CABA,020010606,569,9
CABA,020010607,498,10
CABA,020010608,730,10
CABA,020010609,1046,10
CABA,020010610,415,10
CABA,020010701,669,10
CABA,020010702,770,10
CABA,020010703,261,9
CABA,020010704,560,8
CABA,020010705,403,9
CABA,020010706,300,10
CABA,020010707,592,9
CABA,020010708,597,8
CABA,020010709,330,8
CABA,020010710,384,8
CABA,020010711,213,9
CABA,020010712,507,8
CABA,020010713,1425,10
CABA,020010801,352,8
CABA,020010802,1324,7
CABA,020010803,1104,9
CABA,020010804,592,8
CABA,020010805,589,9
CABA,020010806,1144,9
CABA,020010807,1334,9
CABA,020010808,446,9
CABA,020010809,691,9
CABA,020010810,445,8
CABA,020010901,292,9
CABA,020010902,388,4
CABA,020010903,449,8
CABA,020010904,256,5
CABA,020010905,409,3
CABA,020010906,354,5
CABA,020010907,588,8
CABA,020010908,261,6
CABA,020010909,628,8
CABA,020010910,369,9
CABA,020010911,422,10
CABA,020010912,378,10
CABA,020010913,590,10
CABA,020010914,253,6
CABA,020010915,238,6
