eph_aglome,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Bahia Blanca - Cerri,1,39765,0.7692191625801584,214.7919958575329,54.015339081486964
Bahia Blanca - Cerri,2,40367,0.9860529640547973,226.50370060056244,56.111105754839954
Bahia Blanca - Cerri,3,34201,1,292.5942915627024,85.55138491935979
Bahia Blanca - Cerri,4,34060,0.945713446858485,312.78758982752,91.83428943849675
Bahia Blanca - Cerri,5,29738,0.9746788620620082,262.8717956196447,88.39592293350081
Bahia Blanca - Cerri,6,26019,0.8973442484338369,393.8778578409553,151.38085931087102
Bahia Blanca - Cerri,7,27711,0.9294143120060626,649.5101130564217,234.38710730627608
Bahia Blanca - Cerri,8,24477,0.8512889651509581,382.23755917323075,156.1619312714919
Bahia Blanca - Cerri,9,18395,0.9462897526501767,655.710434159729,356.4612308560636
Bahia Blanca - Cerri,10,21850,0.9437986270022883,1913.002698371508,875.5161090945116
CABA,1,377562,0.7210895164237926,6215.395256271619,164.6191951592485
CABA,2,280969,0.8715801387341664,3923.09055696746,139.6271673019963
CABA,3,291276,0.8644378527582087,2872.2348004267824,98.60870104048333
CABA,4,275277,0.844527512287623,3093.930480982733,112.3933521864425
CABA,5,273174,0.8552241428540052,2302.45808868935,84.285403760583
CABA,6,279299,0.8747220720446547,2304.6645415017833,82.5160326926263
CABA,7,277292,0.9225221066601272,2877.842537744162,103.7838285181023
CABA,8,271860,0.922136393732068,2461.6362482872264,90.54793821405232
CABA,9,274862,0.973433941396046,3612.339605741603,131.42375467476782
CABA,10,287235,0.9627517537904503,10516.568638194056,366.13116918878467
CABA,NA,0,NaN,387.57610038678814,Inf
Comodoro Rivadavia - Rada Tilly,1,21589,0.24197507990180184,5.004434727307409,2.3180484169287174
Comodoro Rivadavia - Rada Tilly,2,19662,0.2042518563726986,4.8700979749981315,2.4769087452945433
Comodoro Rivadavia - Rada Tilly,3,20905,0.06687395359961731,1.4209271284800025,0.6797068301746005
Comodoro Rivadavia - Rada Tilly,4,20829,0.3708771424456287,7.127705287148058,3.422010315976791
Comodoro Rivadavia - Rada Tilly,5,18618,0.3885487162960576,6.666726370488945,3.580796202862254
Comodoro Rivadavia - Rada Tilly,6,22162,0.31761573865174625,10.330670089648361,4.661434026553723
Comodoro Rivadavia - Rada Tilly,7,15784,0.6736568677141409,18.140551562058715,11.493000229383373
Comodoro Rivadavia - Rada Tilly,8,17884,0.5096734511295012,29.0193970005885,16.22645772790679
Comodoro Rivadavia - Rada Tilly,9,14944,0.5255620985010707,51.23124025302494,34.28214685025759
Comodoro Rivadavia - Rada Tilly,10,11917,0.6666107241755476,67.8156335714403,56.90663218212663
Concordia,1,19235,0.15118273979724461,95.84618929212934,49.82905603957855
Concordia,2,23801,0.2822570480231923,64.9941824378871,27.307332649000926
Concordia,3,16562,0.22720685907499094,38.14976663255096,23.03451674468721
Concordia,4,17703,0.5426198949330622,243.7743975260115,137.70230894538298
Concordia,5,15582,0.5090489025798999,177.59305324898753,113.97320834872772
Concordia,6,13861,0.6467787316932401,159.7685519742607,115.26480915825749
Concordia,7,13912,0.675316273720529,140.47748080203323,100.97576250864952
Concordia,8,9768,0.9543407043407044,289.3521515310697,296.22456135449397
Concordia,9,9793,1,73.85472936649639,75.41583719646317
Concordia,10,6124,1,145.39522514217052,237.41872165605898
Corrientes,1,48316,0.48532577200099347,35.91728001457241,7.433827306600797
Corrientes,2,40056,0.4769073297383663,51.140573430227896,12.767269180703988
Corrientes,3,43291,0.5240812178050865,42.143765030141566,9.734994578582516
Corrientes,4,39709,0.5499760759525548,48.47902210128026,12.208572893117493
Corrientes,5,35483,0.8312713130231378,44.57107874184728,12.561248694261273
Corrientes,6,33609,0.7719063346127525,51.257400726160945,15.251093673171157
Corrientes,7,31316,0.7537361093370801,32.18983198426135,10.279036909011799
Corrientes,8,27110,0.782995204721505,62.83064108978387,23.17618631124451
Corrientes,9,23796,0.9043116490166414,182.88392233181807,76.85490096311064
Corrientes,10,21860,1,281.3964609343364,128.72665184553358
Formosa,1,22830,0.33434077967586506,20.824985514724627,9.121763256559188
Formosa,2,28134,0.7026729224425962,74.13178434306141,26.349535914929056
Formosa,3,25589,0.6947516511000821,85.54704860398306,33.431180821440094
Formosa,4,22142,0.43022310541053205,70.80342034942252,31.976976040747232
Formosa,5,24486,0.7543085844972638,150.99174482394508,61.6645204704505
Formosa,6,22987,0.5759342236916518,154.17572374038377,67.07083296662626
Formosa,7,22578,0.8372752236690584,191.25577644354985,84.70890975442902
Formosa,8,18102,0.8199646447906309,113.83874542381443,62.887385605907866
Formosa,9,18382,0.8456098357088456,141.45176104798972,76.9512354738275
Formosa,10,14930,0.981848626925653,194.4008793505738,130.20822461525373
Formosa,NA,0,NaN,3.794437101579085,Inf
Gran Catamarca,1,25277,0.6933575978161965,244.91126416832483,96.89095389813856
Gran Catamarca,2,22420,0.7034790365744871,229.9505142284976,102.56490375936556
Gran Catamarca,3,18088,0.2937859354268023,12.310037772893976,6.805637866482738
Gran Catamarca,4,19587,0.7679072854444274,91.35805874427662,46.64219060819759
Gran Catamarca,5,17211,0.6431933066062402,22.172482889195415,12.882739462666558
Gran Catamarca,6,18987,0.6510770527202823,17.323929907247354,9.12410065162867
Gran Catamarca,7,18144,0.7579916225749559,172.15149036346867,94.88067149662074
Gran Catamarca,8,14353,0.7939106806939316,103.04153779165887,71.79094112147904
Gran Catamarca,9,16614,0.8798603587335981,123.61633277341144,74.4049192087465
Gran Catamarca,10,11165,0.8984326018808777,57.88472299485512,51.84480339888501
Gran Córdoba,1,206429,0.6230326165412805,417.34820997567385,20.21751837075575
Gran Córdoba,2,183862,0.7095321491118338,393.33685618580563,21.393047839455985
Gran Córdoba,3,169968,0.7559187611785748,377.75703542950004,22.225185648445592
Gran Córdoba,4,152642,0.8427497019169036,625.9955394895303,41.01070082215447
Gran Córdoba,5,139801,0.749415240234333,535.3868850022717,38.296355891751254
Gran Córdoba,6,137156,0.850279973169238,826.839313828094,60.2845893601515
Gran Córdoba,7,126198,0.8362652339973692,1151.3923850080623,91.23697562624307
Gran Córdoba,8,110623,0.9071983222295544,1470.8722636791504,132.96260847013284
Gran Córdoba,9,102593,0.8514031171717369,2341.3954493351393,228.22175483075253
Gran Córdoba,10,104601,0.8719037102895766,6869.4698960145515,656.7308052518189
Gran La Plata,1,112712,0.3158936049400241,10678.764802214824,947.4381434288119
Gran La Plata,2,107128,0.4211597341498021,701.2546120220403,65.45950750709808
Gran La Plata,3,96504,0.3956934427588494,11072.262538961228,1147.3371610463016
Gran La Plata,4,89221,0.5224330594815122,62751.166573856586,7033.228340172895
Gran La Plata,5,78650,0.47918626827717736,20988.003764873105,2668.531947218449
Gran La Plata,6,70746,0.5812342747293133,11783.603100191849,1665.6211093477864
Gran La Plata,7,66379,0.7773241537233161,1665.7615107176123,250.94706318528637
Gran La Plata,8,60325,0.770874430169913,1363.7681450603002,226.07014422881065
Gran La Plata,9,52843,0.90672369093352,1307.8148513060755,247.49065179987426
Gran La Plata,10,44869,0.9583231184113753,1319.4897530486187,294.07603312947
Gran Mendoza,1,125380,0.42659116286489074,1075.9506670495543,85.8151752312613
Gran Mendoza,2,120873,0.4793212710861814,218.31753330377813,18.061728699029405
Gran Mendoza,3,103424,0.5917195235148515,624.4401459611362,60.37671584556159
Gran Mendoza,4,100229,0.5901685141027048,876.3038006248611,87.43016498467121
Gran Mendoza,5,92023,0.6851982656509785,2469.4476832922737,268.35113866014734
Gran Mendoza,6,91640,0.6987232649498035,2148.4795533733354,234.44779063436658
Gran Mendoza,7,86427,0.742383745820172,2289.5968308295455,264.91684668327554
Gran Mendoza,8,78308,0.7390049547938908,2878.6123015579533,367.6013053018789
Gran Mendoza,9,69010,0.7573395160121722,4324.3691996269445,626.6293580099905
Gran Mendoza,10,62811,0.7141424272818455,19838.975795828133,3158.5193351209396
Gran Mendoza,NA,1378,1,440.8635121363933,3199.2997977967584
Gran Paraná,1,30770,0.6989275268118297,66.46613363767568,21.60095340840939
Gran Paraná,2,31281,0.633259806272178,110.33069879176198,35.270834945098294
Gran Paraná,3,28057,0.5289589050860748,61.35208961853247,21.86694572425151
Gran Paraná,4,25936,0.49784083898827886,40.43823358108566,15.591545951991696
Gran Paraná,5,31044,0.6686960443241851,163.8041478480395,52.76515521454693
Gran Paraná,6,30395,0.5857213357460108,177.16197131711607,58.286550852810024
Gran Paraná,7,26606,0.4908291362850485,124.63637249887456,46.84521254561924
Gran Paraná,8,24669,0.43779642466253194,159.9462376054656,64.83693607583024
