eph_aglome,localidade,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Bahia Blanca - Cerri,Bahía Blanca,1,39156,0.8242670344263969,219.37875973757548,56.0268566088404
Bahia Blanca - Cerri,Bahía Blanca,2,36259,0.9359055682727047,200.93630757609185,55.41694684798032
Bahia Blanca - Cerri,Bahía Blanca,3,32173,1,282.23787666098895,87.72507278183227
Bahia Blanca - Cerri,Bahía Blanca,4,34060,0.9751614797416324,314.9518147502755,92.46970485915311
Bahia Blanca - Cerri,Bahía Blanca,5,29738,0.9746788620620082,343.513730016764,115.51339364340707
Bahia Blanca - Cerri,Bahía Blanca,6,26019,0.8973442484338369,404.7797705627783,155.5708407559008
Bahia Blanca - Cerri,Bahía Blanca,7,27711,0.9294143120060626,751.1967147157166,271.0824996267607
Bahia Blanca - Cerri,Bahía Blanca,8,24477,0.8937369775707807,400.02894023922937,163.43054305643233
Bahia Blanca - Cerri,Bahía Blanca,9,18395,0.9462897526501767,723.5010196696637,393.31395469946386
Bahia Blanca - Cerri,Bahía Blanca,10,21850,0.9437986270022883,2104.11484066714,962.981620442627
Bahia Blanca - Cerri,General Daniel Cerri,1,609,0,0,0
Bahia Blanca - Cerri,General Daniel Cerri,2,4108,1,5.5552834622975436,13.523085351259843
Bahia Blanca - Cerri,General Daniel Cerri,3,2028,1,3.4295518190166914,16.911005024737136
CABA,CABA Comuna 01,1,43265,0.8285450132901884,727.193704759652,168.07897948911406
CABA,CABA Comuna 01,2,24387,0.8740722516094641,283.0779237691184,116.07738703781457
CABA,CABA Comuna 01,3,17300,0.803699421965318,122.59119000868519,70.86195954259259
CABA,CABA Comuna 01,4,19143,0.7364571906179804,140.92019846676737,73.61447968801514
CABA,CABA Comuna 01,5,12845,0.9202802646944336,160.66941239829373,125.08323269621933
CABA,CABA Comuna 01,6,18745,0.9640437449986663,274.3243758849007,146.34535923440956
CABA,CABA Comuna 01,7,13782,1,195.85526152706115,142.10946272461263
CABA,CABA Comuna 01,8,17845,0.9839170636032503,302.78475125545833,169.67483959398055
CABA,CABA Comuna 01,9,16758,1,309.7349751090841,184.82812692987474
CABA,CABA Comuna 01,10,20471,1,4636.750430010585,2265.0336720290093
CABA,CABA Comuna 01,NA,0,NaN,347.043203708023,Inf
CABA,CABA Comuna 02,1,623,0.8314606741573034,19.821677033988106,318.1649604171446
CABA,CABA Comuna 02,5,2539,1,5.218138183592254,20.551942432423214
CABA,CABA Comuna 02,6,831,1,3.1399364300737913,37.78503525961241
CABA,CABA Comuna 02,7,4329,1,27.368183478179557,63.22056705516183
CABA,CABA Comuna 02,8,16160,1,162.87634539670913,100.78981769598337
CABA,CABA Comuna 02,9,52279,1,822.7556426550788,157.3778462968073
CABA,CABA Comuna 02,10,81171,1,1531.229640745422,188.64245121353957
CABA,CABA Comuna 03,1,3215,1,17.395849423991493,54.108396342119725
CABA,CABA Comuna 03,2,33460,0.9638374178123132,184.17055003282283,55.04200538936725
CABA,CABA Comuna 03,3,46095,0.9788697255667643,237.5424142086675,51.53322794417345
CABA,CABA Comuna 03,4,31623,0.9711602314770894,178.322252866484,56.39004928896183
CABA,CABA Comuna 03,5,24064,0.9267370345744681,120.73713717781686,50.173344904345434
CABA,CABA Comuna 03,6,21561,0.9212466954222902,108.37274126382702,50.26331861408424
CABA,CABA Comuna 03,7,17957,1,87.35175482951774,48.64496008771941
CABA,CABA Comuna 03,8,6397,1,37.28324112513716,58.282384125585686
CABA,CABA Comuna 03,9,2724,1,18.598502516739448,68.27644095719327
CABA,CABA Comuna 03,10,441,1,4.141777613633149,93.91785971957253
CABA,CABA Comuna 04,1,92909,0.6809028188872983,338.5226672781676,36.43593917469433
CABA,CABA Comuna 04,2,52048,0.8785928373808792,851.4396826030377,163.58739674973828
CABA,CABA Comuna 04,3,27764,0.9217331796571099,428.29708724441315,154.26346608716796
CABA,CABA Comuna 04,4,15205,1,265.4988988380793,174.61288973237703
CABA,CABA Comuna 04,5,17887,1,261.1141118163083,145.9798243508181
CABA,CABA Comuna 04,6,6128,1,114.83320924356686,187.39100725125138
CABA,CABA Comuna 04,7,3543,1,56.81602284158703,160.36134022463173
CABA,CABA Comuna 04,8,956,1,7.036669832632574,73.60533297732819
CABA,CABA Comuna 04,9,1805,1,32.27280397851707,178.79669794192282
CABA,CABA Comuna 05,1,369,1,2.520330024981452,68.30162669326428
CABA,CABA Comuna 05,2,8627,0.6221166106410108,42.663854031559154,49.453870443444025
CABA,CABA Comuna 05,3,20242,0.5960873431479102,93.67204455933256,46.27608169120273
CABA,CABA Comuna 05,4,24085,0.6450072659331534,70.43435980964777,29.244077147456
CABA,CABA Comuna 05,5,30703,0.6926033286649513,120.28891459555726,39.17822838014437
CABA,CABA Comuna 05,6,32552,0.8435733595478004,174.08085998685527,53.477777091071296
CABA,CABA Comuna 05,7,28842,0.9073573261216282,174.62304438597985,60.544707158303815
CABA,CABA Comuna 05,8,23687,0.8226875501329843,158.15280548583212,66.76776522389164
CABA,CABA Comuna 05,9,9898,0.8669428167306527,57.70378504211812,58.298429018102766
CABA,CABA Comuna 06,2,715,1,5.1464538475940005,71.97837549082519
CABA,CABA Comuna 06,3,1262,1,8.12366489292654,64.37135414363343
CABA,CABA Comuna 06,4,3657,0.7746786983866557,18.974240470113116,51.88471553216603
CABA,CABA Comuna 06,5,5847,0.8589020010261673,57.67427423883256,98.63908711960417
CABA,CABA Comuna 06,6,27832,0.9362604196608221,246.31029796416874,88.49895730244637
CABA,CABA Comuna 06,7,47614,0.965808375687823,528.1922803314363,110.93213767619531
CABA,CABA Comuna 06,8,52314,0.9609664716901786,598.3529350198123,114.37720973731932
CABA,CABA Comuna 06,9,31929,1,436.8902332968574,136.83179344697842
CABA,CABA Comuna 06,10,4906,1,88.2298209420854,179.84064602952589
CABA,CABA Comuna 07,1,48675,0.2026296866974833,36.8327057076009,7.567068455593406
CABA,CABA Comuna 07,2,22035,0.8552756977535738,179.3734154020771,81.40386448925666
CABA,CABA Comuna 07,3,27891,0.8921874439783443,188.62412474003307,67.62902898427201
CABA,CABA Comuna 07,4,23994,0.7599816620821872,113.6913774141403,47.38325306915908
CABA,CABA Comuna 07,5,29510,1,351.2444280524572,119.02556016687808
CABA,CABA Comuna 07,6,28892,0.9431330472103004,400.0237850712307,138.45486123190872
CABA,CABA Comuna 07,7,17082,0.9199157007376185,207.85847037338107,121.68274814037059
CABA,CABA Comuna 07,8,17057,0.8996306501729495,243.89156248759502,142.98620067280004
CABA,CABA Comuna 07,9,5455,1,52.44632340500588,96.14358094409877
CABA,CABA Comuna 08,1,144369,0.8641882952711455,4509.25660965955,312.3424426060685
CABA,CABA Comuna 08,2,33041,0.9098090251505705,845.0565995704779,255.75999502753487
CABA,CABA Comuna 08,3,4201,1,106.5809897405758,253.70385560717878
CABA,CABA Comuna 08,4,4770,1,210.56123929488717,441.428174622405
CABA,CABA Comuna 08,5,856,1,37.33386840536295,436.1433224925578
CABA,CABA Comuna 09,1,33994,0.8992175089721716,493.26453159838553,145.10340989538904
CABA,CABA Comuna 09,2,62679,0.8746310566537436,1137.0905886623757,181.41492184980228
CABA,CABA Comuna 09,3,38403,0.8943572116761711,514.589056616053,133.99709830379214
CABA,CABA Comuna 09,4,15440,0.881541450777202,54.48223736591991,35.2864231644559
CABA,CABA Comuna 09,5,7639,0.9016887027097787,69.91096053452816,91.5184717037939
CABA,CABA Comuna 09,6,2752,1,11.534036426451223,41.91146957286055
CABA,CABA Comuna 09,7,890,0,0,0
CABA,CABA Comuna 10,1,1100,1,2.0040497877972667,18.218634434520606
CABA,CABA Comuna 10,2,23753,0.7803224855807688,86.18117554302044,36.28222773671555
CABA,CABA Comuna 10,3,51068,0.8962168089606015,220.32094630230375,43.142662000137804
CABA,CABA Comuna 10,4,46207,0.9250762871426407,246.97758106127503,53.45025235597962
CABA,CABA Comuna 10,5,27706,0.9201977910921822,114.781912143092,41.428539718144805
CABA,CABA Comuna 10,6,14244,0.8650659926986801,114.68349434586709,80.51354559524509
CABA,CABA Comuna 10,7,1944,1,8.337618525585404,42.8889841851101
CABA,CABA Comuna 11,1,2218,1,2.0627220794680614,9.299919204094055
CABA,CABA Comuna 11,2,7137,0.7074401008827238,26.9255705969574,37.72673475824212
CABA,CABA Comuna 11,3,22455,0.7503451347138722,48.24970648377254,21.487288569927653
CABA,CABA Comuna 11,4,38153,0.769480774775247,79.91478970109152,20.945873116423748
CABA,CABA Comuna 11,5,43373,0.777580522444839,92.88062359891147,21.414387660275164
CABA,CABA Comuna 11,6,37175,0.6437390719569603,71.00321873632218,19.099722592151227
CABA,CABA Comuna 11,7,24168,0.6618255544521682,48.2927956804998,19.982123336850297
CABA,CABA Comuna 11,8,10242,0.8163444639718805,29.766281297538054,29.06295772069718
CABA,CABA Comuna 11,9,4218,1,18.949615314090885,44.92559344260523
CABA,CABA Comuna 11,10,693,1,3.5149252919807448,50.720422683704825
CABA,CABA Comuna 12,1,2740,1,39.562054085829736,144.3870587074078
CABA,CABA Comuna 12,2,1145,1,106.35641338128089,928.8769727622786
CABA,CABA Comuna 12,3,14734,1,796.5632442048508,540.6293227941162
CABA,CABA Comuna 12,4,27700,0.976028880866426,1612.3431667842306,582.0733454094695
CABA,CABA Comuna 12,5,32805,1,728.2709029935256,221.9999704293631
CABA,CABA Comuna 12,6,33631,0.9749041063304689,473.6899549270766,140.84920309448918
CABA,CABA Comuna 12,7,44638,0.9263183834401183,694.6114558633494,155.60989647012622
CABA,CABA Comuna 12,8,22036,0.8467053911780722,92.9983071279834,42.20289849699736
CABA,CABA Comuna 12,9,14849,0.8102229106337127,42.438482734241404,28.580027432312885
CABA,CABA Comuna 12,10,5838,0.8336759164097294,22.880652714173326,39.19262198385291
CABA,CABA Comuna 13,4,1011,1,3.9248453719272276,38.821418119952796
CABA,CABA Comuna 13,5,2701,1,78.1945006917921,289.5020388441025
CABA,CABA Comuna 13,6,14615,1,100.76661261214525,68.94739145545347
CABA,CABA Comuna 13,7,25332,1,195.74403941484505,77.27145089801242
CABA,CABA Comuna 13,8,51575,1,263.46159060280655,51.08319740238614
CABA,CABA Comuna 13,9,72060,0.9790729947266167,272.3218590800226,37.79098793783272
CABA,CABA Comuna 13,10,64037,0.9833065259147056,515.1591036292518,80.44710146153815
CABA,CABA Comuna 14,4,4625,0.8492972972972973,29.348448479439693,63.45610482041015
CABA,CABA Comuna 14,5,416,1,1.896980754107151,45.60049889680651
CABA,CABA Comuna 14,6,8419,0.8213564556360613,16.916298698316396,20.093002373579278
CABA,CABA Comuna 14,7,21262,1,260.9687978248049,122.73953429818685
CABA,CABA Comuna 14,8,26653,0.9511124451281282,264.77839145944654,99.342809987411
CABA,CABA Comuna 14,9,58107,0.986335553375669,1519.3773048983771,261.4792202141527
CABA,CABA Comuna 14,10,106488,0.9186856735031177,3728.3474956503132,350.11902708758856
CABA,CABA Comuna 15,1,4085,0.7476132190942473,13.237391305487288,32.40487467683547
CABA,CABA Comuna 15,2,11942,0.8513649304974041,100.35096846831284,84.0319615376929
CABA,CABA Comuna 15,3,19861,0.6082271788933085,91.3890620202772,46.01433060786325
CABA,CABA Comuna 15,4,19664,0.6273901545972336,77.81128809107207,39.570427222880426
CABA,CABA Comuna 15,5,34283,0.5962430359070093,131.8282602148379,38.45295342147359
CABA,CABA Comuna 15,6,31922,0.7247979449909153,217.12693673711848,68.01796151153388
CABA,CABA Comuna 15,7,25909,0.8322204639314524,426.52515651530564,164.6243222491434
CABA,CABA Comuna 15,8,26938,0.7313089316207588,310.51932714799267,115.27185654020072
CABA,CABA Comuna 15,9,4780,0.6822175732217574,55.248153983218934,115.58191209878439
CABA,CABA Comuna 15,10,3190,1,10.12197680025791,31.73033479704674
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,1,21589,0.24197507990180184,5.004434727352858,2.3180484169497695
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,2,19662,0.39065201912318176,9.648283752146178,4.9070713824362615
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,3,20905,0.19248983496771108,4.2769767866649895,2.045910924020564
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,4,20829,0.49171827740169954,11.324002316099453,5.4366519353302865
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,5,19323,0.41085752729907365,9.078500442049304,4.698287244242253
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,6,22346,0.46375190190638144,14.297637691790797,6.398298439000626
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,7,16144,0.5084241823587711,12.28141103590494,7.607415160991662
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,8,17807,0.5207502667490312,13.105470753937936,7.3597297433245
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,9,10143,0.4212757566794834,5.411613540311903,5.335318485962637
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,10,6448,0.6364764267990074,4.947609243874577,7.673091259110697
Comodoro Rivadavia - Rada Tilly,Rada Tilly,9,3629,0.6076054009368972,33.31838866079049,91.81148707850784
Comodoro Rivadavia - Rada Tilly,Rada Tilly,10,5469,0.545072225269702,46.495745884019186,85.01690598650427
Concordia,Concordia,1,19235,0.4270860410709644,102.38702231120368,53.2295411027833
Concordia,Concordia,2,23801,0.6621990672660812,68.62344249694877,28.832167764778273
Concordia,Concordia,3,18046,0.6299456943366951,43.797735133667764,24.270051609036773
Concordia,Concordia,4,17637,0.6250496116119522,242.6541200741951,137.58242335669053
Concordia,Concordia,5,15701,0.5762690274504808,188.1546410908355,119.83608756820297
Concordia,Concordia,6,15202,0.7544402052361532,167.65206676031377,110.28290143422824
Concordia,Concordia,7,12021,0.845437151651277,148.28305972916928,123.35334808183119
Concordia,Concordia,8,9346,0.9522790498609031,321.94473889832506,344.4732922087792
Concordia,Concordia,9,9228,1,36.57096596687818,39.63043559479646
Concordia,Concordia,10,6124,1,150.33337642267358,245.48232596778834
