eph_aglome,poblacion,area_m2,m2_hab
Bahia Blanca - Cerri,296583,3598662.863067221,12.133746246639966
CABA,2888806,14818202.37111093,5.129524921753461
Comodoro Rivadavia - Rada Tilly,184294,696278.7491968886,3.778086911114245
Concordia,146341,1899953.1703155662,12.98305444349544
Corrientes,344546,606459.7130781651,1.7601705231759042
Formosa,220160,629705.510456929,2.86021761653765
Gran Catamarca,181846,1034793.282933735,5.690492410796691
Gran Córdoba,1433873,6850814.538654105,4.777839138231981
Gran La Plata,779377,107709113.66082984,138.19898927069934
Gran Mendoza,931503,8196883.633198629,8.799632028236763
Gran Paraná,263315,1993969.5102700703,7.572563318724988
Gran Resistencia,385726,1866472.491295593,4.838855797368062
Gran Rosario,1233420,9222792.495240461,7.477414421073488
Gran San Juan,479819,1809594.3926248588,3.771410453993816
Gran Santa Fe,483247,2149762.838919195,4.448579792361246
Gran Tucumán - Tafi Viejo,828588,3695009.363561061,4.4594048713728185
Jujuy - Palpalá,289343,1415927.511367113,4.893595184148617
La Rioja,177807,1540019.7898265324,8.661187635056733
Mar del Plata - Batán,593296,6392714.374644071,10.774915682296983
Neuquén - Plottier,251683,1478717.1436871334,5.875315947788025
Partidos del GBA,10646088,125925865.77696489,11.828369799025227
Posadas,317297,1499494.192424266,4.725837913451013
Rawson - Trelew,129306,284834.86736796,2.2027969882910305
Rio Cuarto,162695,1603706.8545612993,9.857136694805
Rio Gallegos,95796,178061.4617737393,1.858756751573545
Salta,547902,1964381.3297174755,3.5852786259540492
San Luis - El Chorrillo,195596,1983222.837453632,10.139383409955377
San Nicolas - Villa Constitución,174650,4188690.583639641,23.983341446548188
Santa Rosa - Toay,113536,1322250.2446909489,11.646087978182681
Santiago del Estero - La Banda,355101,1768124.6014615486,4.979216058139934
Ushuaia - Rio Grande,123068,196090.38158281177,1.593349868225792
Viedma - Carmen de Patagones,73322,837187.7529894542,11.417961225681982
