eph_aglome,localidade,poblacion,area_m2,m2_hab
Bahia Blanca - Cerri,Bahía Blanca,289838,3562446.0339060063,12.291162766462666
Bahia Blanca - Cerri,General Daniel Cerri,6745,36216.82916121464,5.369433530202319
CABA,Ciudad Autónoma de Buenos Aires,2888806,15854671.88119912,5.488313123553163
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,175196,517875.0178019032,2.955975123872139
Comodoro Rivadavia - Rada Tilly,Rada Tilly,9098,178403.73139498546,19.609115343480486
Concordia,Concordia,146341,1932844.3210212567,13.207811351714534
Corrientes,Corrientes,344546,606459.7130781651,1.7601705231759042
Formosa,Formosa,220160,629705.510456929,2.86021761653765
Gran Catamarca,San Fernando del Valle de Catamarca,145930,3132907.342740109,21.468562617283006
Gran Catamarca,San Isidro,25674,34437.48473145673,1.3413369452152657
Gran Catamarca,San José,10242,13199.422487278236,1.2887543924309937
Gran Córdoba,Agua de Oro,1918,NA,NA
Gran Córdoba,Córdoba,1296925,6392347.361081332,4.928848901117129
Gran Córdoba,El Manzano,892,NA,NA
Gran Córdoba,La Calera,31972,197209.34358046064,6.168189152397743
Gran Córdoba,La Granja,2456,37912.22411101265,15.436573335102871
Gran Córdoba,Mendiolaza,10271,NA,NA
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,5710,NA,NA
Gran Córdoba,Río Ceballos,19688,NA,NA
Gran Córdoba,Saldán,10605,6628.281109458767,0.625014720363863
Gran Córdoba,Salsipuedes,9612,151285.32694242737,15.739214205412752
Gran Córdoba,Unquillo,18086,18260.433532205876,1.0096446716911354
Gran Córdoba,Villa Allende,25738,47171.56829720759,1.832759666532271
Gran La Plata,Berisso,84044,153749.26294058305,1.8293901163745545
Gran La Plata,Ensenada,54772,102855851.84139901,1877.8911093514755
Gran La Plata,La Plata,638683,107528098.72601114,168.35910573165583
Gran La Plata,Ruta Sol,1878,NA,NA
Gran Mendoza,Godoy Cruz,189758,5069328.005551254,26.714699804757924
